Year level,Strand,Content code,Content description,Elaboration,Linked Achievement IDs,descriptor_type
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern",recognising the constant term being added or subtracted in an additive pattern and using it to identify missing elements in the sequence,Y2-AS-03,knowledge
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern","recognising additive patterns in the environment on Country/Place and in First Nations Australians’ material culture; representing them using drawings, coloured counters and numbers",Y2-AS-03,knowledge
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern","using ten-frames or materials such as connecting cubes to develop and record addition and subtraction strategies including doubles, near doubles, counting on, combinations to 10 and bridging to 10, explaining patterns and connections noticed within the facts",Y2-AS-03,knowledge
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern","partitioning and rearranging collections to practice and develop fluency with addition and subtraction facts to 20 leading to the recall of these facts; for example, partitioning using materials and part-part-whole diagrams to develop subtraction facts related to addition facts, such as 8 + 7 = 15 therefore, 15 – 7 = 8 and 15 – 8 = 7",Y2-AS-03,knowledge
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern","using partitioning to develop and record facts systematically; for example, “How many ways can 10 birds be spread among 2 trees?”, 10 = 10 + 0, 10 = 9 + 1, 10 = 8 + 2, 10 = 7 + 3, …; explaining how they know they have found all possible partitions",Y2-AS-03,knowledge
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern","recognising and relating terms such as double, twice and multiply by 2, halve and divide by 2 using physical and virtual materials; for example, colouring numbers on a hundreds chart to represent doubles and use to recognise halves; recognising the doubling pattern and applying to find related facts such as for 8 twos think 2 eights",Y2-AS-03,knowledge
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern",doubling and halving collections to practise and develop fluency with multiplication and division facts for twos leading to recall of these facts,Y2-AS-03,knowledge
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern","establishing an understanding of doubles and near doubles using physical or virtual manipulatives; for example, using manipulatives to establish that doubling 5 gives you 10 then extending this doubling fact to respond to the question, “How can you use this fact to double 6 or double 4?”",Y2-AS-03,knowledge
Year 2,Algebra,AC9M2A01,"recognise, describe and create additive patterns that increase or decrease by a constant amount, using numbers, shapes and objects, and identify missing elements in the pattern","develop fluency with doubling and halving numbers within 20 using physical or virtual materials and playing doubling and halving games; for example, using a physical or virtual dice and choosing whether to double or halve to reach a target number",Y2-AS-03,knowledge
Year 2,Measurement,AC9M2M01,"measure and compare objects based on length, capacity and mass using appropriate uniform informal units and smaller units for accuracy when necessary","choosing suitable informal units to measure the length of a range of objects; justifying their choice of a longer unit to measure things that are long, such as the width of a room, and a shorter unit to measure shorter things or when more accuracy is needed",Y2-AS-10,knowledge
Year 2,Measurement,AC9M2M01,"measure and compare objects based on length, capacity and mass using appropriate uniform informal units and smaller units for accuracy when necessary","comparing the capacity of several containers using sand and units such as a spoon or cup, to say which container will hold the most and how much more it will hold; recording the results, writing an explanation of their measurement process, including using smaller units to be more accurate, and justifying the result",Y2-AS-10,knowledge
Year 2,Measurement,AC9M2M01,"measure and compare objects based on length, capacity and mass using appropriate uniform informal units and smaller units for accuracy when necessary","using balance scales to compare the mass of several objects, selecting an appropriate informal unit; counting the number of informal units to determine which object is heavier and how much heavier; explaining why the informal units chosen need to be the same mass",Y2-AS-10,knowledge
Year 2,Measurement,AC9M2M01,"measure and compare objects based on length, capacity and mass using appropriate uniform informal units and smaller units for accuracy when necessary","recognising that the same informal unit needs to be used when measuring; for example, demonstrating and discussing why using different shoe lengths to measure the same distance could result in the measures being different; discussing why a smaller sized informal unit may result in a larger number of units compared to a larger informal unit",Y2-AS-10,knowledge
Year 2,Measurement,AC9M2M01,"measure and compare objects based on length, capacity and mass using appropriate uniform informal units and smaller units for accuracy when necessary","investigating First Nations Australians’ use of body parts, such as hands, as uniform informal units of measurement used to measure and compare objects; for example, in the manufacturing of nets for a particular purpose",Y2-AS-10,knowledge
Year 2,Measurement,AC9M2M01,"measure and compare objects based on length, capacity and mass using appropriate uniform informal units and smaller units for accuracy when necessary","investigating and comparing measurable attributes that are interpreted by First Nations Australians to understand animal behaviour such as the length, width and depth of animal tracks",Y2-AS-10,knowledge
Year 2,Measurement,AC9M2M02,"identify common uses and represent halves, quarters and eighths in relation to shapes, objects and events","demonstrating how food items can be cut in halves, quarters or eighths; for example, cutting pizzas, slices, cakes or sandwiches into equal parts by halving, then halving again to form quarters and eighths, ensuring that the parts are equal",Y2-AS-05,knowledge
Year 2,Measurement,AC9M2M02,"identify common uses and represent halves, quarters and eighths in relation to shapes, objects and events","investigating cup and spoon measures used in cooking and discussing what half or quarter of a cup or tablespoon measure means, and using sand or water to compare these to the full cup and tablespoon measures",Y2-AS-05,knowledge
Year 2,Measurement,AC9M2M02,"identify common uses and represent halves, quarters and eighths in relation to shapes, objects and events","demonstrating and using halves and quarters in folding activities; for example, folding paper in half and quarters and ensuring that the pieces are the same size",Y2-AS-05,knowledge
Year 2,Measurement,AC9M2M02,"identify common uses and represent halves, quarters and eighths in relation to shapes, objects and events","recognising that halves and quarters can be used to describe lengths, positions and distances; for example, describing the halfway point in a race or instructing someone to stand halfway between the 2 chairs",Y2-AS-05,knowledge
Year 2,Measurement,AC9M2M02,"identify common uses and represent halves, quarters and eighths in relation to shapes, objects and events","discussing that halves and quarters are used to describe duration of time in sporting events, durations of time and what it means; for example, how the sirens used during an Australian Rules Football game represent quarters and half time during the game; recognising and using half or quarter of an hour to describe a duration of time",Y2-AS-05,knowledge
Year 2,Measurement,AC9M2M03,identify the date and determine the number of days between events using calendars,"using calendars to locate specific dates and identify what day it is, to determine the date 2 weeks prior to or after a given date",Y2-AS-04,knowledge
Year 2,Measurement,AC9M2M03,identify the date and determine the number of days between events using calendars,"creating a class calendar to enter specific dates relevant to the class; for example, students’ birthdays, school assemblies, sports carnivals or class excursions",Y2-AS-04,knowledge
Year 2,Measurement,AC9M2M03,identify the date and determine the number of days between events using calendars,"using addition and a calendar to model and solve the problem “How many days there are in left in this year?” by identifying the number days left in this month and in each of the remaining months, and using addition to model and solve the problem",Y2-AS-04,knowledge
Year 2,Measurement,AC9M2M03,identify the date and determine the number of days between events using calendars,"identifying and locating specific days or dates on a calendar; for example, school holidays, sports days, ANZAC Day, Easter, Diwali or Ramadan",Y2-AS-04,knowledge
Year 2,Measurement,AC9M2M04,"recognise and read the time represented on an analog clock to the hour, half-hour and quarter-hour","creating an analog clock from a paper plate, showing the placement of the numbers and the 2 hands; explaining how long it takes for the 2 hands to move around the clock face and what time unit each is showing","Y2-AS-04, Y2-AS-05",knowledge
Year 2,Measurement,AC9M2M04,"recognise and read the time represented on an analog clock to the hour, half-hour and quarter-hour","recognising and describing the relationship between the movement of the hands on an analog clock and the duration of time it represents; for example, connecting the language of “half past” to mean when the “big hand” will be at half past the hour and recognising this position as being halfway around its full cycle","Y2-AS-04, Y2-AS-05",knowledge
Year 2,Measurement,AC9M2M04,"recognise and read the time represented on an analog clock to the hour, half-hour and quarter-hour","dividing a clockface into halves and quarters, and connecting the subdivisions with telling the time to the half and quarter hour; explaining the meaning of “quarter past” and “quarter to” referring to the hour","Y2-AS-04, Y2-AS-05",knowledge
Year 2,Measurement,AC9M2M05,"identify, describe and demonstrate quarter, half, three-quarter and full measures of turn in everyday situations","identifying things that turn in the school environment; for example, the handle on a tap or a door, the dial or switch on a piece of equipment; identifying a half turn and a full turn, drawing a diagram and labelling it with arrows to show the direction and amount of turn",Y2-AS-05,knowledge
Year 2,Measurement,AC9M2M05,"identify, describe and demonstrate quarter, half, three-quarter and full measures of turn in everyday situations","giving and following instructions to move during an activity; for example, demonstrating and describing half, quarter and full turns in a choreographed dance",Y2-AS-05,knowledge
Year 2,Measurement,AC9M2M05,"identify, describe and demonstrate quarter, half, three-quarter and full measures of turn in everyday situations","investigating hands turning on a clock and relating quarter, half and full hours to angles and the language of clockwise or anti-clockwise",Y2-AS-05,knowledge
Year 2,Measurement,AC9M2M05,"identify, describe and demonstrate quarter, half, three-quarter and full measures of turn in everyday situations","giving or following directions to locate an object in the room, or provide a pathway through a grid, such as programming a robot, referring to quarter, half, three-quarter and full turns",Y2-AS-05,knowledge
Year 2,Space,AC9M2SP01,"recognise, compare and classify shapes, referencing the number of sides and using spatial terms such as “opposite”, “parallel”, “curved” and “straight”","sorting a collection of shapes in different ways based on their features such as number of sides, whether all sides are equal, whether pairs of opposite sides are parallel; for example, collections of triangles and other polygons",Y2-AS-02,knowledge
Year 2,Space,AC9M2SP01,"recognise, compare and classify shapes, referencing the number of sides and using spatial terms such as “opposite”, “parallel”, “curved” and “straight”","manipulating shapes and recognising that different orientations do not change the shape; for example, cutting out pictures of various shapes, recognising they are they are still classified as the same shape even if they are upside down or on their side",Y2-AS-02,knowledge
Year 2,Space,AC9M2SP01,"recognise, compare and classify shapes, referencing the number of sides and using spatial terms such as “opposite”, “parallel”, “curved” and “straight”","investigating the shapes of different sporting fields, describing and labelling their features including side lines, centre circles and goal squares; for example, labelling the lines on a basketball court and using spatial terms to describe them",Y2-AS-02,knowledge
Year 2,Space,AC9M2SP01,"recognise, compare and classify shapes, referencing the number of sides and using spatial terms such as “opposite”, “parallel”, “curved” and “straight”","creating regular shapes using digital tools, describing and observing what happens when you manipulate them; for example, dragging or pushing vertices to produce irregular shapes, moving or rotating a shape",Y2-AS-02,knowledge
Year 2,Space,AC9M2SP02,locate positions in two-dimensional representations of a familiar space; move positions by following directions and pathways,interpreting maps of familiar places and identifying the position of key features,Y2-AS-06,knowledge
Year 2,Space,AC9M2SP02,locate positions in two-dimensional representations of a familiar space; move positions by following directions and pathways,"understanding that we use maps, to receive and give directions and to describe place and spatial relationships between places",Y2-AS-06,knowledge
Year 2,Space,AC9M2SP02,locate positions in two-dimensional representations of a familiar space; move positions by following directions and pathways,using a classroom seating plan to locate a new seating position and giving directions to other classmates to find their seats,Y2-AS-06,knowledge
Year 2,Space,AC9M2SP02,locate positions in two-dimensional representations of a familiar space; move positions by following directions and pathways,"following and creating movement instructions that need to be carried out to move through a 4 x 4 grid mat on the classroom floor or on a computer screen; for example, one forward, 2 to the right and one backwards, and so on to reach a target square; using a robotic toy to follow a path on a street scene on a floor mat, adjusting their directions as they consider the order of their instructions, the direction and how far they want the toy to travel",Y2-AS-06,knowledge
Year 2,Space,AC9M2SP02,locate positions in two-dimensional representations of a familiar space; move positions by following directions and pathways,"moving around a two-dimensional maze using directional language to describe turns and changes in direction including saying, for example, “clockwise”, “anticlockwise”, “quarter turn to the left”, and “take the path to the right”",Y2-AS-06,knowledge
Year 2,Statistics,AC9M2ST01,"acquire data for categorical variables through surveys, observation, experiment and using digital tools; sort data into relevant categories and display data using lists and tables","posing a question of interest about favourite things; for example, asking classmates what are their favourite types of fruit, football teams, days of the week, and recording responses using a table; using counting strategies to determine the number of different responses and the most popular and least popular responses",Y2-AS-08,knowledge
Year 2,Statistics,AC9M2ST01,"acquire data for categorical variables through surveys, observation, experiment and using digital tools; sort data into relevant categories and display data using lists and tables","investigating questions, such as “How much rubbish is really rubbish?” by gathering data about objects in categories; for example, throw away, recycle and reuse; deciding whether the data answers the question",Y2-AS-08,knowledge
Year 2,Statistics,AC9M2ST01,"acquire data for categorical variables through surveys, observation, experiment and using digital tools; sort data into relevant categories and display data using lists and tables",using familiar software to construct a survey to collect class data; sorting and interpreting responses; and considering the questions asked and whether they need to be modified to reuse the survey,Y2-AS-08,knowledge
Year 2,Statistics,AC9M2ST01,"acquire data for categorical variables through surveys, observation, experiment and using digital tools; sort data into relevant categories and display data using lists and tables","exploring the ways First Nations Australians observe, collect, sort and record data",Y2-AS-08,knowledge
Year 2,Statistics,AC9M2ST02,"create different graphical representations of data using software where appropriate; compare the different representations, identify and describe common and distinctive features in response to questions","collecting data from a limited list of choices, creating 2 different graphical representations of the data, discussing and comparing the different representations; for example, asking the class to choose their favourite colour from a given set, then co-creating a picture graph with colours on the horizontal axis and comparing to a column graph with colours on the horizontal axis and numbers on the vertical axis",Y2-AS-08,knowledge
Year 2,Statistics,AC9M2ST02,"create different graphical representations of data using software where appropriate; compare the different representations, identify and describe common and distinctive features in response to questions","creating different data displays; for example, lists, tally charts, jointly created column graphs and picture graphs to represent a data set; describing the information that each display represents and discussing how easy or hard they are to interpret and why",Y2-AS-08,knowledge
Year 2,Statistics,AC9M2ST02,"create different graphical representations of data using software where appropriate; compare the different representations, identify and describe common and distinctive features in response to questions","using digital tools to create picture graphs to represent data using one-to-one correspondence, deciding on an appropriate title for the graph and considering whether the categories of data are appropriate for the context",Y2-AS-08,knowledge
Year 2,Statistics,AC9M2ST02,"create different graphical representations of data using software where appropriate; compare the different representations, identify and describe common and distinctive features in response to questions","comparing picture graphs with one-to-one column graphs of the same data, interpreting the data in each and saying how they are the same and how they are different; for example, collecting data on the country of birth of each student and creating different pictographs to represent classroom data",Y2-AS-08,knowledge
Year 2,Statistics,AC9M2ST02,"create different graphical representations of data using software where appropriate; compare the different representations, identify and describe common and distinctive features in response to questions","using dot plots, sticker charts, picture graphs, bar charts and column graphs to represent data",Y2-AS-08,knowledge
Year 3,Number,AC9M3N01,"recognise, represent and order natural numbers using naming and writing conventions for numerals beyond 10 000","moving materials from one place to another on a place value model to show renaming of numbers; for example, 1574 can be shown as one thousand, 5 hundreds, 7 tens and 4 ones, or as 15 hundreds, 7 tens and 4 ones",Y3-AS-01,knowledge
Year 3,Number,AC9M3N01,"recognise, represent and order natural numbers using naming and writing conventions for numerals beyond 10 000","using the repeating pattern of place value names and spaces within sets of 3 digits to name and write larger numbers: ones, tens, hundreds, ones of thousands, tens of thousands, hundreds of thousands, ones of millions, tens of millions; writing, for example, four hundred and twenty-five thousand as 425 000",Y3-AS-01,knowledge
Year 3,Number,AC9M3N01,"recognise, represent and order natural numbers using naming and writing conventions for numerals beyond 10 000","predicting and naming the number that is one more than 99, 109, 199, 1009, 1099, 1999, 10 009 … 99 999 and discussing what will change when one, one ten and one hundred is added to each",Y3-AS-01,knowledge
Year 3,Number,AC9M3N01,"recognise, represent and order natural numbers using naming and writing conventions for numerals beyond 10 000","comparing the Hindu-Arabic numeral system to other numeral systems; for example, investigating the Japanese numeral system, 一、十、百、千、万",Y3-AS-01,knowledge
Year 3,Number,AC9M3N01,"recognise, represent and order natural numbers using naming and writing conventions for numerals beyond 10 000","comparing, reading and writing the numbers involved in the more than 60 000 years of First Peoples of Australia’s presence on the Australian continent through time scales relating to pre-colonisation and post- colonisation",Y3-AS-01,knowledge
Year 3,Number,AC9M3N02,"recognise and represent unit fractions (cid:2869) (cid:2869) (cid:2869) (cid:2869) (cid:2869) including , , , and and their (cid:2870) (cid:2871) (cid:2872) (cid:2873) (cid:2869)(cid:2868) multiples in different ways; combine fractions with the same denominator to complete the whole","recognising that unit fractions represent equal parts of a whole; for example, one-third is one of 3 equal parts of a whole",Y3-AS-14,knowledge
Year 3,Number,AC9M3N02,"recognise and represent unit fractions (cid:2869) (cid:2869) (cid:2869) (cid:2869) (cid:2869) including , , , and and their (cid:2870) (cid:2871) (cid:2872) (cid:2873) (cid:2869)(cid:2868) multiples in different ways; combine fractions with the same denominator to complete the whole","representing unit fractions and their multiples in different ways; for example, using a Think Board to represent three-quarters using a diagram, concrete materials, a situation and fraction notation",Y3-AS-14,knowledge
Year 3,Number,AC9M3N02,"recognise and represent unit fractions (cid:2869) (cid:2869) (cid:2869) (cid:2869) (cid:2869) including , , , and and their (cid:2870) (cid:2871) (cid:2872) (cid:2873) (cid:2869)(cid:2868) multiples in different ways; combine fractions with the same denominator to complete the whole","cutting objects such as oranges, sandwiches or playdough into halves, quarters or fifths and reassembling them to demonstrate; for example, two-halves make a whole, four-quarters make a whole, counting the fractions as they go",Y3-AS-14,knowledge
Year 3,Number,AC9M3N02,"recognise and represent unit fractions (cid:2869) (cid:2869) (cid:2869) (cid:2869) (cid:2869) including , , , and and their (cid:2870) (cid:2871) (cid:2872) (cid:2873) (cid:2869)(cid:2868) multiples in different ways; combine fractions with the same denominator to complete the whole","sharing collections of objects, such as pop sticks or counters, between 3, 4 and 5 people and connecting division with fractions; for example, sharing between 3 people gives",Y3-AS-14,knowledge
Year 3,Number,AC9M3N03,"add and subtract two- and three-digit numbers using place value to partition, rearrange and regroup numbers to assist in calculations without a calculator","using partitioning and part-part-whole models and the inverse relationship between addition and subtraction to solve addition or subtraction problems, making informal written “jottings” to keep track of the numbers if necessary","Y3-AS-06, Y3-AS-11",knowledge
Year 3,Number,AC9M3N03,"add and subtract two- and three-digit numbers using place value to partition, rearrange and regroup numbers to assist in calculations without a calculator","using physical or virtual grouped materials or diagrams to make proportional models of numbers to assist in calculations; for example, to calculate 214 + 325 representing 214 as 2 groups of 100, one group of 10 and 4 ones and 325 as 3 groups of 100, 2 groups of 10 and 5 ones resulting in 5 groups of 100, 3 groups of 10 and 9 ones which is 539","Y3-AS-06, Y3-AS-11",knowledge
Year 3,Number,AC9M3N03,"add and subtract two- and three-digit numbers using place value to partition, rearrange and regroup numbers to assist in calculations without a calculator","choosing between standard and non-standard place value partitions to assist with calculations; for example, to solve 485 + 365, thinking of 365 as 350 + 15, then adding the parts, 485 + 15 = 500, 500 + 350 = 850","Y3-AS-06, Y3-AS-11",knowledge
Year 3,Number,AC9M3N03,"add and subtract two- and three-digit numbers using place value to partition, rearrange and regroup numbers to assist in calculations without a calculator","solving subtraction problems efficiently by adding or subtracting a constant amount to both numbers to create an easier calculation; for example, 534 – 395 adding 5 to both numbers to make 539 – 400 = 139","Y3-AS-06, Y3-AS-11",knowledge
Year 3,Number,AC9M3N03,"add and subtract two- and three-digit numbers using place value to partition, rearrange and regroup numbers to assist in calculations without a calculator",justifying choices about partitioning and regrouping numbers in terms of their usefulness for particular calculations when solving problems,"Y3-AS-06, Y3-AS-11",knowledge
Year 3,Number,AC9M3N03,"add and subtract two- and three-digit numbers using place value to partition, rearrange and regroup numbers to assist in calculations without a calculator","applying knowledge of place value to assist in calculations when solving problems involving larger numbers; for example, calculating the total crowd numbers for an agricultural show that lasts a week","Y3-AS-06, Y3-AS-11",knowledge
Year 3,Number,AC9M3N04,"multiply and divide one- and two-digit numbers, representing problems using number sentences, diagrams and arrays, and using a variety of calculation strategies","applying knowledge of numbers and the properties of operations using a variety of ways to represent multiplication or division number sentences; for example, using a Think Board to show different ways of visualising 8 x 4, such as an array, a diagram and as a worded problem",Y3-AS-16,knowledge
Year 3,Number,AC9M3N04,"multiply and divide one- and two-digit numbers, representing problems using number sentences, diagrams and arrays, and using a variety of calculation strategies",using part-part-whole and comparative models to visually represent multiplicative relationships and choosing whether to use multiplication or division to solve problems,Y3-AS-16,knowledge
Year 3,Number,AC9M3N04,"multiply and divide one- and two-digit numbers, representing problems using number sentences, diagrams and arrays, and using a variety of calculation strategies","matching or creating a problem scenario or story that can be represented by a given number sentence involving multiplication and division; for example, using given number sentences to create worded problems for others to solve",Y3-AS-16,knowledge
Year 3,Number,AC9M3N04,"multiply and divide one- and two-digit numbers, representing problems using number sentences, diagrams and arrays, and using a variety of calculation strategies",formulating connected multiplication and division expressions by representing situations from First Nations Australians’ cultural stories and dances about how they care for Country/Place such as turtle egg gathering using number sentences,Y3-AS-16,knowledge
Year 3,Number,AC9M3N05,estimate the quantity of objects in collections and make estimates when solving problems to determine the reasonableness of calculations,estimating how much space a grid paper representation of a large number such as 20 200 will take up on the wall and how much paper will be required,Y3-AS-09,knowledge
Year 3,Number,AC9M3N05,estimate the quantity of objects in collections and make estimates when solving problems to determine the reasonableness of calculations,"estimating the number of people in a large gathering; for example, school assembly, using known numbers, such as how many students per class",Y3-AS-09,knowledge
Year 3,Number,AC9M3N05,estimate the quantity of objects in collections and make estimates when solving problems to determine the reasonableness of calculations,"choosing which place value they would estimate to for different situations; for example, they would estimate to the nearest 10 when estimating how many dots on a ladybird or they would estimate to the nearest 1000 when estimating crowd sizes at a venue",Y3-AS-09,knowledge
Year 3,Number,AC9M3N05,estimate the quantity of objects in collections and make estimates when solving problems to determine the reasonableness of calculations,"checking the reasonableness of an addition calculation by using two- and three-digit numbers to the nearest 10 or hundred to estimate; for example, using 200 + 400 = 600 to estimate and check the solution to the calculation 219 + 385",Y3-AS-09,knowledge
Year 3,Number,AC9M3N06,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate problems using number sentences and choose calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation","modelling practical additive situations, choosing whether to use an addition, subtraction or both when representing the problem as a number sentence, and explaining how each number in their number sentence is connected to the situation","Y3-AS-06, Y3-AS-09, Y3-AS-16",knowledge
Year 3,Number,AC9M3N06,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate problems using number sentences and choose calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation","modelling additive problems using a bar model to represent the problem; for example, “I had 75 tomatoes and then picked some more, now I have 138. How many did I pick?”","Y3-AS-06, Y3-AS-09, Y3-AS-16",knowledge
Year 3,Number,AC9M3N06,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate problems using number sentences and choose calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation","modelling practical multiplicative situations using materials or a diagram to represent the problem; for example, if 4 tomato plants each have 6 tomatoes, deciding whether to use an addition or multiplication number sentence, explaining how each number in their number sentence is connected to the situation","Y3-AS-06, Y3-AS-09, Y3-AS-16",knowledge
Year 3,Number,AC9M3N06,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate problems using number sentences and choose calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation",modelling and solving practical division problems involving unknown numbers of groups or finding how much is in each group by representing the problem with both division and multiplication number sentences; explaining how the 2 number sentences are connected to the problem,"Y3-AS-06, Y3-AS-09, Y3-AS-16",knowledge
Year 3,Number,AC9M3N06,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate problems using number sentences and choose calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation","modelling the problem of deciding how to share an amount equally; for example, 48 horses into 2, 4, 6 or 8 paddocks, representing the shares with a division and a multiplication number sentence, and counting the number in each share to check the solutions","Y3-AS-06, Y3-AS-09, Y3-AS-16",knowledge
Year 3,Number,AC9M3N07,follow and create algorithms involving a sequence of steps and decisions to investigate numbers; describe any emerging patterns,following or creating an algorithm to generate number patterns formed by doubling and halving using technology to assist where appropriate; identifying and describing emerging patterns,,knowledge
Year 3,Number,AC9M3N07,follow and create algorithms involving a sequence of steps and decisions to investigate numbers; describe any emerging patterns,"following or creating an algorithm that determines whether a given number is a multiple of 2, 5 or 10, identifying and discussing emerging patterns",,knowledge
Year 3,Number,AC9M3N07,follow and create algorithms involving a sequence of steps and decisions to investigate numbers; describe any emerging patterns,"creating an algorithm as a set of instructions that a classmate can follow to generate multiples of 3 using the rule “To multiply by 3 you double the number and add on one more of the number”; for example, for 3 threes you double 3 and add on 3 to get 9, for 3 fours you double 4 and add one more 4 to get 12 ...",,knowledge
Year 3,Number,AC9M3N07,follow and create algorithms involving a sequence of steps and decisions to investigate numbers; describe any emerging patterns,creating a sorting algorithm that will sort a collection of 5 cent and 10 cent coins and providing the total value of the collection by applying knowledge of multiples of 5 and 10,,knowledge
Year 3,Algebra,AC9M3A01,"recognise and explain the connection between addition and subtraction as inverse operations, apply to partition numbers and find unknown values in number sentences","partitioning numbers using materials, part-part-whole diagrams or bar models, and recording addition and subtraction facts for each representation, explaining how each fact is connected to the materials, diagrams or models; for example, 16 + 8 = 24, 24 – 8 = 16, 8 = 24 – 16",Y3-AS-11,knowledge
Year 3,Algebra,AC9M3A01,"recognise and explain the connection between addition and subtraction as inverse operations, apply to partition numbers and find unknown values in number sentences","using the inverse relationship between addition and subtraction to find unknown values with a calculator; for example, representing the problem, “Peter had some money and then spent $375, now he has $158 left. How much did Peter have to start with?” as □ – $375 = $158 and solving the problem using $375 + $158 = $533 ; solving 27 + □ = 63 using subtraction, □ = 63 – 27 or by counting on; 27, 37, 47, 57, 60, 63, so add 3 tens and 6 ones, so □ = 36",Y3-AS-11,knowledge
Year 3,Algebra,AC9M3A01,"recognise and explain the connection between addition and subtraction as inverse operations, apply to partition numbers and find unknown values in number sentences","exploring First Nations Australians’ stories and dances that show the connection between addition and subtraction, representing this as a number sentence and discussing how this conveys important information about balance in processes on Country/Place",Y3-AS-11,knowledge
Year 3,Algebra,AC9M3A02,extend and apply knowledge of addition and subtraction facts to 20 to develop efficient mental strategies for computation with larger numbers without a calculator,"partitioning using materials and part-part-whole diagrams to develop subtraction facts related to addition facts, such as 8 + 7 = 15 therefore, 15 – 7 = 8 and 15 – 8 = 7",Y3-AS-06,knowledge
Year 3,Algebra,AC9M3A02,extend and apply knowledge of addition and subtraction facts to 20 to develop efficient mental strategies for computation with larger numbers without a calculator,"using partitioning to develop and record facts systematically; for example, “How many ways can 12 monkeys be spread among 2 trees?”, 12 = 12 + 0, 12 = 11 + 1, 12 = 10 + 2, 12 = 9 + 3, …; explaining how they know they have found all possible partitions",Y3-AS-06,knowledge
Year 3,Algebra,AC9M3A02,extend and apply knowledge of addition and subtraction facts to 20 to develop efficient mental strategies for computation with larger numbers without a calculator,"understanding basic addition and related subtraction facts and using extensions to these facts; for example, 6 + 6 = 12, 16 + 6 = 22, 6 + 7 = 13, 16 + 7 = 23, and 60 + 60 = 120, 600 + 600 = 1200",Y3-AS-06,knowledge
Year 3,Algebra,AC9M3A03,"recall and demonstrate proficiency with multiplication facts for 3, 4, 5 and 10; extend and apply facts to develop the related division facts","using concrete or virtual materials, groups and repeated addition to recognise patterns and establish the 3, 4, 5 and 10 multiplication facts; using the language of “3 groups of 2 equals 6” to develop into “3 twos are 6” and extend to establish the 3 x 10 multiplication facts and related division facts",Y3-AS-16,knowledge
Year 3,Algebra,AC9M3A03,"recall and demonstrate proficiency with multiplication facts for 3, 4, 5 and 10; extend and apply facts to develop the related division facts","recognising that when they multiply a number by 5, the resulting number will either end in a 5 or a zero; using a calculator or spreadsheet to generate a list of the multiples of 5 to develop the multiplication and related division facts for fives",Y3-AS-16,knowledge
Year 3,Algebra,AC9M3A03,"recall and demonstrate proficiency with multiplication facts for 3, 4, 5 and 10; extend and apply facts to develop the related division facts","practising calculating and deriving multiplication facts for 3, 4, 5 and 10, explaining and recalling the patterns in them and using them to derive related division facts",Y3-AS-16,knowledge
Year 3,Algebra,AC9M3A03,"recall and demonstrate proficiency with multiplication facts for 3, 4, 5 and 10; extend and apply facts to develop the related division facts","systematically exploring algorithms used for repeated addition, comparing and describing what is happening, and using them to establish the multiplication facts for 3, 4, 5 and 10; for example, following the sequence of steps, the decisions being made and the resulting solution, recognising and generalising any emerging patterns",Y3-AS-16,knowledge
Year 3,Measurement,AC9M3M01,identify which metric units are used to measure everyday items; use measurements of familiar items and known units to make estimates,examining the packaging on supermarket items to determine the metric unit used to describe the mass or capacity of the contents,"Y3-AS-09, Y3-AS-15",knowledge
Year 3,Measurement,AC9M3M01,identify which metric units are used to measure everyday items; use measurements of familiar items and known units to make estimates,"identifying items that have a mass of one kilogram or 500 grams, or a capacity of one litre or 500 millilitres and using these benchmarks to estimate the mass or capacity of other things, explaining their reasoning","Y3-AS-09, Y3-AS-15",knowledge
