Code,Subject,Year Level,Strand,Descriptor,elaborations
AC9M4ST01,Mathematics,Year 4,Statistics,"acquire data for categorical and discrete numerical variables to address a question of interest or purpose using digital tools; represent data using many-to-one pictographs, column graphs and other displays or visualisations; interpret and discuss the information that has been created","investigating many-to-one data displays using digital tools | understanding that data can be represented with one symbol representing more than one piece of data | constructing graphs of data collected through observation during science experiments | acquiring samples of data using practical activities, observations or repeated chance experiments"
AC9M4ST02,Mathematics,Year 4,Statistics,"analyse the effectiveness of different displays or visualisations in illustrating and comparing data distributions, then discuss the shape of distributions and the variation in the data","suggesting questions that can be answered by a given data display | interpreting data representations in the media where symbols represent one-to-many relationships | comparing different student generated diagrams, tables and graphs"
AC9M4ST03,Mathematics,Year 4,Statistics,"conduct statistical investigations, collecting data through survey responses and other methods; record and display data using digital tools; interpret the data and communicate the results",creating a survey to collect class responses to a preferred movie choice | conducting a statistical investigation and acquiring data from different online sources | investigating different contexts in which statistical investigations can take place
AC9M4P01,Mathematics,Year 4,Probability,describe possible everyday events and the possible outcomes of chance experiments and order outcomes or events based on their likelihood of occurring; identify independent or dependent events,using lists of events and ordering them from 'least likely' to 'most likely' to occur | predicting the outcome of a coin toss after 5 heads have been flipped in a row and discussing the reasoning | predicting how likely it is to select a red ball from bags with different proportions of red and white balls
AC9M4P02,Mathematics,Year 4,Probability,conduct repeated chance experiments to observe relationships between outcomes; identify and describe the variation in results,"playing games such as Noughts and Crosses and deciding if it makes a difference who goes first | recording and ordering the outcomes of experiments using different physical or virtual random generators | experimenting with tossing 2 coins at the same time, recording and commenting on the chance of outcomes"
AC9M5N01,Mathematics,Year 5,Number,"interpret, compare and order numbers with more than 2 decimal places, including numbers greater than one, using place value understanding; represent these on a number line","making models of decimals including tenths, hundredths and thousandths by subdividing materials or grids | renaming decimals to assist with mental computation | using a number line or number track to represent and locate decimals with varying numbers of decimal places | interpreting and comparing the digits in decimal measures"
AC9M5N02,Mathematics,Year 5,Number,"express natural numbers as products of their factors, recognise multiples and determine if one number is divisible by another",using a certain number of blocks to form different rectangles and using these to list all possible factors | researching divisibility tests and explaining each rule using materials | using divisibility tests to determine if larger numbers are multiples of one-digit numbers | demonstrating and reasoning that all multiples can be formed by combining or regrouping
AC9M5N03,Mathematics,Year 5,Number,"compare and order fractions with the same and related denominators including mixed numerals, applying knowledge of factors and multiples; represent these fractions on a number line",using pattern blocks to represent equivalent fractions | creating a fraction wall from paper tape to model and compare a range of different fractions with related denominators | connecting a fraction wall model and a number line model of fractions | converting between mixed numerals and improper fractions to assist with locating them on a number line
AC9M5N04,Mathematics,Year 5,Number,"recognise that 100% represents the complete whole and use percentages to describe, represent and compare relative size; connect familiar percentages to their decimal and fraction equivalents",recognising applications of percentages used in everyday contexts | creating a model by subdividing a whole using 10 x 10 grids to represent various percentage amounts | creating a model by subdividing a collection of materials to connect decimals and percentage equivalents | using physical and virtual materials to represent the relationship between decimal notation and percentages
AC9M5N05,Mathematics,Year 5,Number,"solve problems involving addition and subtraction of fractions with the same or related denominators, using different strategies","using different ways to add and subtract fractional amounts by subdividing different models of measurement attributes | representing and solving addition and subtraction problems involving fractions using jumps on a number line or bar models | using materials, diagrams, number lines or arrays to show and explain that fraction number sentences can be rewritten in equivalent forms"
AC9M5N06,Mathematics,Year 5,Number,"solve problems involving multiplication of larger numbers by one- or two-digit numbers, choosing efficient calculation strategies and using digital tools where appropriate; check the reasonableness of answers",solving multiplication problems such as 253 x 4 using a doubling strategy | solving multiplication problems by thinking of factors of both numbers and rearranging the factors to make the calculation easier | using an array to show place value partitioning to solve multiplication
AC9M5N07,Mathematics,Year 5,Number,"solve problems involving division, choosing efficient strategies and using digital tools where appropriate; interpret any remainder according to the context and express results as a whole number, decimal or fraction","interpreting and solving everyday division problems, deciding whether to round up or down in order to accommodate the remainder | solving division problems mentally by thinking in terms of multiplication | using the fact that equivalent division calculations result if both numbers are divided by the same factor"
AC9M5N08,Mathematics,Year 5,Number,check and explain the reasonableness of solutions to problems including financial contexts using estimation strategies appropriate to the context,"interpreting a series of contextual problems to decide whether an exact answer or an approximate calculation is appropriate | recognising the effect of rounding addition, subtraction, multiplication and division calculations | considering the type of rounding that is appropriate for different contexts"
AC9M5N09,Mathematics,Year 5,Number,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate the problems, choosing operations and efficient calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation","modelling an everyday situation and determining which operations can be used to solve it | modelling a series of contextual problems, deciding whether an exact answer or an approximate calculation is appropriate | modelling financial situations such as creating a budget for a class fundraising event"
AC9M5N10,Mathematics,Year 5,Number,"create and use algorithms involving a sequence of steps and decisions and digital tools to experiment with factors, multiples and divisibility; identify, interpret and describe emerging patterns",creating algorithms that use multiplication and division facts to determine if a number is a multiple or factor of another number | identifying lowest common multiples and highest common factors of pairs or triples of natural numbers | using the 'fill down' function of a spreadsheet and a multiplication formula to generate a sequence of numbers
AC9M5A01,Mathematics,Year 5,Algebra,recognise and explain the connection between multiplication and division as inverse operations and use this to develop families of number facts,"using materials or diagrams to develop and explain division strategies using the inverse relationship | using arrays, multiplication tables, and physical and virtual materials to develop families of facts | demonstrating multiplicative partitioning using materials, diagrams or arrays and recording 2 multiplication and 2 division facts for each grouping"
AC9M5A02,Mathematics,Year 5,Algebra,find unknown values in numerical equations involving multiplication and division using the properties of numbers and operations,"using knowledge of equivalent number sentences to form and find unknown values in numerical equations | using relational thinking, an understanding of equivalence and number properties to determine and reason about numerical equations | using materials, diagrams and arrays to demonstrate that multiplication is associative and commutative but division is not"
AC9M5M01,Mathematics,Year 5,Measurement,"choose appropriate metric units when measuring the length, mass and capacity of objects; use smaller units or a combination of units to obtain a more accurate measure","ordering metric units from the largest unit to the smallest | recognising that some units of measurement are better suited to some tasks than others | deciding on the unit required to estimate the amount of paint or carpet for a room | measuring and comparing distances using a metre length of string, then measuring the part metre with centimetres and millimetres"
AC9M5M02,Mathematics,Year 5,Measurement,solve practical problems involving the perimeter and area of regular and irregular shapes using appropriate metric units,investigating problem situations involving perimeter | using efficient ways to calculate the perimeters of rectangles | solving measurement problems about floor area | creating a model of a permaculture garden and calculating the amount of resources needed
AC9M5M03,Mathematics,Year 5,Measurement,compare 12- and 24-hour time systems and solve practical problems involving the conversion between them,using timetables written in 24-hour time such as flight schedules to plan a trip | converting between the digital and analog representation of 24-hour time
AC9M5M04,Mathematics,Year 5,Measurement,"estimate, construct and measure angles in degrees, using appropriate tools including a protractor, and relate these measures to angle names",using a protractor to measure angles in degrees and classifying these angles using angle names | estimating the size of angles in the environment using a clinometer | using a ruler and protractor to construct triangles given the angle measures and side lengths | recognising the size of angles within shapes that do and do not tessellate
AC9M5SP01,Mathematics,Year 5,Space,connect objects to their nets and build objects from their nets using spatial and geometric reasoning,"designing and constructing exact nets for packaging particular shaped items | visualising folding some possible nets for a range of prisms and pyramids | sketching nets for a range of prisms and pyramids considering the number, shape and placement of the faces"
AC9M5SP02,Mathematics,Year 5,Space,construct a grid coordinate system that uses coordinates to locate positions within a space; use coordinates and directional language to describe position and movement,understanding how the numbers on the axes on a grid coordinate system are numbers on a number line | discussing the conventions of indicating a point in a grid coordinate system | comparing a grid reference system to a grid coordinate system by using both to play strategy games
AC9M5SP03,Mathematics,Year 5,Space,"describe and perform translations, reflections and rotations of shapes, using dynamic geometric software where appropriate; recognise what changes and what remains the same, and identify any symmetries","understanding and explaining that translations, rotations and reflections can change the position and orientation of a shape but not the shape or size | using pattern blocks and paper tracing around a shape and conducting a series of one-step transformations | demonstrating how different combinations of transformations can produce the same resulting image"
AC9M5ST01,Mathematics,Year 5,Statistics,"acquire, validate and represent data for nominal and ordinal categorical and discrete numerical variables to address a question of interest or purpose using software including spreadsheets; discuss and report on data distributions in terms of highest frequency (mode) and shape, in the context of the data",recognising that ordinal data is a form of categorical data | determining the mode for a set of data and discussing that there may be more than one mode | identifying the best methods of presenting data to illustrate the results of investigations | acquiring data through chance experiments and discussing and reporting on the distribution of outcomes
AC9M5ST02,Mathematics,Year 5,Statistics,interpret line graphs representing change over time; discuss the relationships that are represented and conclusions that can be made,"reading and interpreting different line graphs, discussing how the horizontal axis represents measures of time | interpreting real-life data represented as a line graph showing how measurements change over a period of time | matching unlabelled line graphs to the context they represent based on the stories of the different contexts"
AC9M5ST03,Mathematics,Year 5,Statistics,plan and conduct statistical investigations by posing questions or identifying a problem and collecting relevant data; choose appropriate displays and interpret the data; communicate findings within the context of the investigation,"posing questions about insect diversity in the playground and collecting data | posing a question or identifying a problem of interest, collecting, interpreting and analysing the data | developing survey questions that are objective, without opinion and have a balanced set of answer choices without bias"
AC9M5P01,Mathematics,Year 5,Probability,list the possible outcomes of chance experiments involving equally likely outcomes and compare to those which are not equally likely,discussing what it means for outcomes to be equally likely | discussing how chance experiments that have equally likely outcomes can be referred to as random chance events | commenting on the chance of winning games by considering the number of possible outcomes | comparing the chance of a head or a tail when a coin is tossed
AC9M5P02,Mathematics,Year 5,Probability,"conduct repeated chance experiments including those with and without equally likely outcomes, observe and record the results; use frequency to compare outcomes and estimate their likelihoods","discussing and listing all the possible outcomes of an activity and conducting experiments to estimate the probabilities | conducting experiments, recording the outcomes and the number of times the outcomes occur | experimenting with and comparing the outcomes of spinners with equal-coloured regions compared to unequal regions"
AC9M6N01,Mathematics,Year 6,Number,"recognise situations, including financial contexts, that use integers; locate and represent integers on a number line and as coordinates on the Cartesian plane","extending the number line in the negative direction to locate and represent integers | using integers to represent quantities in financial contexts, including the concept of profit and loss | using horizontal and vertical number lines to represent and find solutions to everyday problems involving locating and ordering integers around zero"
AC9M6N02,Mathematics,Year 6,Number,"identify and describe the properties of prime, composite and square numbers and use these properties to solve problems and simplify calculations","using the definition of a prime number to explain why one is not a prime number | testing numbers by using division to distinguish between prime and composite numbers | representing composite numbers as a product of their factors, including prime factors | identifying and describing the product of a number with itself as square"
AC9M6N03,Mathematics,Year 6,Number,"apply knowledge of equivalence to compare, order and represent common fractions including halves, thirds and quarters on the same number line and justify their order","applying factors and multiples to fraction denominators to determine equivalent representations of fractions | representing fractions on the same number line, paying attention to relative position | comparing and ordering fractions by placing cards on a string line across the room and referring to benchmark fractions"
AC9M6N04,Mathematics,Year 6,Number,"apply knowledge of place value to add and subtract decimals, using digital tools where appropriate; use estimation and rounding to check the reasonableness of answers",applying estimation strategies to addition and subtraction of decimals to at least thousandths before calculating answers | applying whole-number strategies for addition and subtraction of decimal numbers to at least hundredths | working additively with linear measurements expressed as decimals
AC9M6N05,Mathematics,Year 6,Number,solve problems involving addition and subtraction of fractions using knowledge of equivalent fractions,representing addition and subtraction of fractions using an understanding of equivalent fractions | determining the lowest common denominator using an understanding of prime and composite numbers | calculating the addition or subtraction of fractions in the context of realistic problems
AC9M6N06,Mathematics,Year 6,Number,"multiply and divide decimals by multiples of powers of 10 without a calculator, applying knowledge of place value and proficiency with multiplication facts; using estimation and rounding to check the reasonableness of answers","applying place value knowledge and known multiplication facts to multiply and divide a decimal by powers of 10 | applying and explaining estimation strategies in multiplicative situations involving a decimal greater than one | explaining the effect of multiplying or dividing a decimal by 10, 100, 1000 in terms of place value"
AC9M6N07,Mathematics,Year 6,Number,"solve problems that require finding a familiar fraction, decimal or percentage of a quantity, including percentage discounts, choosing efficient calculation strategies and using digital tools where appropriate",explaining how 1/3 of a quantity can be achieved by dividing by 3 | investigating percentage discounts using equivalent decimal representations | linking percentages to their decimal equivalent of tenths and hundredths | representing a situation with a mathematical expression involving finding a familiar fraction or percentage of a quantity
AC9M6N08,Mathematics,Year 6,Number,"approximate numerical solutions to problems involving rational numbers and percentages, including financial contexts, using appropriate estimation strategies","using familiar fractions, decimals and percentages to approximate calculations | choosing appropriate estimation strategies including rounding to the nearest whole number | recognising the effect of rounding on calculations involving fractions or decimals"
AC9M6N09,Mathematics,Year 6,Number,"use mathematical modelling to solve practical problems, involving rational numbers and percentages, including in financial contexts; formulate the problems, choosing operations and efficient calculation strategies, and using digital tools where appropriate; interpret and communicate solutions in terms of the situation, justifying the choices made",modelling practical situations involving percentages using efficient calculation strategies | modelling situations involving earning money and budgeting | modelling and solving the problem of creating a budget for a class excursion or family holiday
AC9M6A01,Mathematics,Year 6,Algebra,recognise and use rules that generate visually growing patterns and number patterns involving rational numbers,investigating patterns such as the number of tiles in a geometric pattern | using a calculator or spreadsheet to experiment with number patterns that result from multiplying or dividing | creating an extended number sequence that represents an additive pattern using decimals | investigating the number of regions created by successive folds of a sheet of paper
AC9M6A02,Mathematics,Year 6,Algebra,"find unknown values in numerical equations involving brackets and combinations of arithmetic operations, using the properties of numbers and operations",using brackets and the order of operations to write number sentences | constructing equivalent number sentences involving brackets and combinations of the 4 operations | finding pairs of unknown values in numerical equations that make the equation hold true
AC9M6A03,Mathematics,Year 6,Algebra,"create and use algorithms involving a sequence of steps and decisions that use rules to generate sets of numbers; identify, interpret and explain emerging patterns","using an algorithm to create extended number sequences involving rational numbers | designing an algorithm to model operations, using the concept of input and output | designing an algorithm or writing a simple program to generate a sequence of numbers based on the user's input and a chosen operation"
AC9M6M01,Mathematics,Year 6,Measurement,"convert between common metric units of length, mass and capacity; choose and use decimal representations of metric measurements relevant to the context of a problem","recognising the significance of the prefixes in units of measurement | identifying and using the correct operations when converting between units including millimetres, centimetres, metres, kilometres, milligrams, grams, kilograms, tonnes, millilitres, litres, kilolitres and megalitres | recognising the equivalence of measurements such as 1.25 metres is the same as 125 centimetres"
AC9M6M02,Mathematics,Year 6,Measurement,establish the formula for the area of a rectangle and use it to solve practical problems,"using the relationship between the length and area of square units and the array structure to derive a formula for calculating the area of a rectangle | using one centimetre grid paper to construct a variety of rectangles, recording the side lengths and related areas | solving problems involving the comparison of lengths and areas using appropriate units"
AC9M6M03,Mathematics,Year 6,Measurement,interpret and use timetables and itineraries to plan activities and determine the duration of events and journeys,planning a trip involving one or more modes of public transport | developing a timetable of daily activities for a planned event such as a sports carnival | investigating different ways duration is represented in timetables and using different timetables to plan a journey
AC9M6M04,Mathematics,Year 6,Measurement,"identify the relationships between angles on a straight line, angles at a point and vertically opposite angles; use these to determine unknown angles, communicating reasoning","using protractors or dynamic geometry software to measure and generalise about the size of angles formed when lines are crossed | demonstrating the meaning of language associated with properties of angles including right, complementary, straight, supplement, vertically opposite | using the properties of supplementary and complementary angles to represent spatial situations with number sentences"
AC9M6SP01,Mathematics,Year 6,Space,compare the parallel cross-sections of objects and recognise their relationships to right prisms,"using objects made of foam or polystyrene, slicing along different cross-sections, and recording the different shapes of faces that result | observing and drawing the shapes resulting from different ways of slicing through familiar objects | understanding that right prisms are objects where parallel cross-sections to the base of the prism are the same shape and size"
AC9M6SP02,Mathematics,Year 6,Space,locate points in the 4 quadrants of a Cartesian plane; describe changes to the coordinates when a point is moved to a different position in the plane,"understanding that the Cartesian plane provides a graphical or visual way of describing location with respect to a fixed origin | understanding that the horizontal coordinate is written first | using the Cartesian plane to draw lines and polygons, listing co-ordinates in the correct order"
AC9M6SP03,Mathematics,Year 6,Space,"recognise and use combinations of transformations to create tessellations and other geometric patterns, using dynamic geometric software where appropriate","using digital tools to create tessellations of shapes, describing the transformations used and discussing why these shapes tessellate | designing a school or brand logo using the transformation of one or more shapes | using dynamic geometric software to experiment with transformations"
AC9M6ST01,Mathematics,Year 6,Statistics,"interpret and compare data sets for ordinal and nominal categorical, discrete and continuous numerical variables using comparative displays or visualisations and digital tools; compare distributions in terms of mode, range and shape",determining the range for a numerical data set by finding the difference between the highest and the lowest value in the set | representing acquired numerical data sets using side-by-side column graphs | representing ordinal data collected through surveys using visualisation tools including dot plots and bar charts
AC9M6ST02,Mathematics,Year 6,Statistics,"identify statistically informed arguments presented in traditional and digital media; discuss and critique methods, data representations and conclusions",investigating data representations in the media and discussing what they illustrate | evaluating reports and secondary data relating to the distribution and use of non-renewable resources | identifying potentially misleading data representations in the media
AC9M6ST03,Mathematics,Year 6,Statistics,plan and conduct statistical investigations by posing and refining questions or identifying a problem and collecting relevant data; analyse and interpret the data and communicate findings within the context of the investigation,selecting and using appropriate peripherals to collect data | using a spreadsheet to record and analyse data | investigating the daily water usage by a student in the home compared to the World Health Organization allocation | collecting sample sets of discrete numerical data
AC9M6P01,Mathematics,Year 6,Probability,"recognise that probabilities lie on numerical scales of 0-1 or 0%-100% and use estimation to assign probabilities that events occur in a given context, using common fractions, percentages and decimals",recognising that the probability of an event occurring can be represented numerically as either a number ranging from zero to one or a percentage from 0% to 100% | using a scale of zero to one or 0% to 100% to estimate chances of events | listing the different possible outcomes for rolling a dice and using a scale to locate the relative probability
AC9M6P02,Mathematics,Year 6,Probability,conduct repeated chance experiments and run simulations with an increasing number of trials using digital tools; compare observations with expected results and discuss the effect on variation of increasing the number of trials,using digital tools to simulate multiple tosses of a coin or dice and comparing the relative frequency of an outcome as the number of trials increases | using online simulations of repeated random events to recognise emerging patterns | systematically recording the outcome of large numbers of spins on a spinner and analysing the relative frequencies of outcomes
