Year level,Strand,Sub-strand,Content code,Content description,Elaboration,Tags,Linked Achievement IDs
Year 1,Literacy,Creating texts,AC9E1LY06,"create and re-read to edit short written and/or multimodal texts to report on a topic, express an opinion or recount a real or imagined event, using grammatically correct simple sentences, some topic-specific vocabulary, sentence boundary punctuation and correct spelling of some one- and two-syllable words",beginning to use dictionaries and resources to check and correct spelling,Other,"Year1-AS-1357, Year1-AS-2, Year1-AS-5660, Year1-AS-6800, Year1-AS-9042, Year1-AS-93"
Year 1,Literacy,Creating texts,AC9E1LY06,"create and re-read to edit short written and/or multimodal texts to report on a topic, express an opinion or recount a real or imagined event, using grammatically correct simple sentences, some topic-specific vocabulary, sentence boundary punctuation and correct spelling of some one- and two-syllable words",identifying words that might not be spelt correctly,Other,"Year1-AS-1357, Year1-AS-2, Year1-AS-5660, Year1-AS-6800, Year1-AS-9042, Year1-AS-93"
Year 1,Literacy,Creating texts,AC9E1LY07,"create and deliver short oral and/or multimodal presentations on personal and learnt topics, which include an opening, middle and concluding statement; some topic-specific vocabulary and appropriate gesture, volume and pace",reporting the results of group activities,Other,"Year1-AS-4833, Year1-AS-8445, Year1-AS-8680"
Year 1,Literacy,Creating texts,AC9E1LY07,"create and deliver short oral and/or multimodal presentations on personal and learnt topics, which include an opening, middle and concluding statement; some topic-specific vocabulary and appropriate gesture, volume and pace",explaining how to do or make something,Other,"Year1-AS-4833, Year1-AS-8445, Year1-AS-8680"
Year 1,Literacy,Creating texts,AC9E1LY07,"create and deliver short oral and/or multimodal presentations on personal and learnt topics, which include an opening, middle and concluding statement; some topic-specific vocabulary and appropriate gesture, volume and pace","giving short oral presentations about areas of interest or content area topics, speaking clearly and with appropriate volume, and using content-specific vocabulary",Other,"Year1-AS-4833, Year1-AS-8445, Year1-AS-8680"
Year 1,Literacy,Creating texts,AC9E1LY07,"create and deliver short oral and/or multimodal presentations on personal and learnt topics, which include an opening, middle and concluding statement; some topic-specific vocabulary and appropriate gesture, volume and pace","experimenting with volume and pace for particular purposes; for example, presenting information, retelling stories, and reciting rhymes and poems",Other,"Year1-AS-4833, Year1-AS-8445, Year1-AS-8680"
Year 1,Literacy,Creating texts,AC9E1LY07,"create and deliver short oral and/or multimodal presentations on personal and learnt topics, which include an opening, middle and concluding statement; some topic-specific vocabulary and appropriate gesture, volume and pace",giving reasons why the class should learn a particular game,Other,"Year1-AS-4833, Year1-AS-8445, Year1-AS-8680"
Year 1,Literacy,Creating texts,AC9E1LY08,write words using unjoined lower-case and upper-case letters,continuing to develop a functional pencil grip/grasp,Other,Year1-AS-8735
Year 1,Literacy,Phonic and word knowledge,AC9E1LY09,segment words into separate phonemes (sounds) including consonant blends or clusters at the beginnings and ends of words (phonological awareness),"saying sounds in order for a given spoken word; for example, “s-p-oo-n” and “f-i-s-t”",Phonics,Year1-AS-4399
Year 1,Literacy,Phonic and word knowledge,AC9E1LY10,"orally manipulate phonemes in spoken words by addition, deletion and substitution of initial, medial and final phonemes to generate new words (phonological awareness)","adding, substituting or deleting phonemes in any position in one-syllable words with up to 4 phonemes",Phonics,"Year1-AS-2951, Year1-AS-4399"
Year 1,Literacy,Phonic and word knowledge,AC9E1LY10,"orally manipulate phonemes in spoken words by addition, deletion and substitution of initial, medial and final phonemes to generate new words (phonological awareness)","substituting medial sounds in spoken words to make new words; for example, “pin”, “pen”, “pan”",Phonics,"Year1-AS-2951, Year1-AS-4399"
Year 1,Literacy,Phonic and word knowledge,AC9E1LY10,"orally manipulate phonemes in spoken words by addition, deletion and substitution of initial, medial and final phonemes to generate new words (phonological awareness)","substituting final sounds in spoken words; for example, substitute the “t” in “pet” with “g” to form a new word “peg”",Phonics,"Year1-AS-2951, Year1-AS-4399"
Year 1,Literacy,Phonic and word knowledge,AC9E1LY11,"use short vowels, common long vowels, consonant blends and digraphs to write words, and blend these to read one- and two-syllable words","using knowledge of letters and sounds to write words with short vowels; for example, “man”, and common long vowel sounds; for example, “time”",Phonics,"Year1-AS-2951, Year1-AS-4399, Year1-AS-93"
Year 1,Literacy,Phonic and word knowledge,AC9E1LY11,"use short vowels, common long vowels, consonant blends and digraphs to write words, and blend these to read one- and two-syllable words","using knowledge of letter sounds to write single-syllable words with consonant digraphs and consonant blends; for example, “wish” and “rest”",Phonics,"Year1-AS-2951, Year1-AS-4399, Year1-AS-93"
Year 1,Literacy,Phonic and word knowledge,AC9E1LY12,understand that a letter can represent more than one sound and that a syllable must contain a vowel sound,"recognising that letters can have more than one sound; for example, the letter “u” in “cut”, “put”, “use” and the letter “a” in “cat”, “father”, “any”",Phonics,"Year1-AS-4399, Year1-AS-93"
Year 1,Literacy,Phonic and word knowledge,AC9E1LY12,understand that a letter can represent more than one sound and that a syllable must contain a vowel sound,"recognising sounds that can be produced by different letters; for example, the “s” sound in “sat” and “cent”",Phonics,"Year1-AS-4399, Year1-AS-93"
Year 1,Literacy,Phonic and word knowledge,AC9E1LY13,spell one- and two-syllable words with common letter patterns,"writing one- and two-syllable words containing known blends; for example, “bl” and “st”",Phonics,Year1-AS-93
Year 1,Literacy,Phonic and word knowledge,AC9E1LY14,read and write an increasing number of high-frequency words,"learning an increasing number of high-frequency words and reading them independently; for example, “one”, “have” and “pretty”",Comprehension,"Year1-AS-4399, Year1-AS-93"
Year 1,Literacy,Phonic and word knowledge,AC9E1LY15,recognise and know how to use grammatical morphemes to create word families,"building word families from common morphemes; for example, “play”, “plays”, “playing”, “played”, “playground”",Other,Year1-AS-93
Year 1,Literacy,Phonic and word knowledge,AC9E1LY15,recognise and know how to use grammatical morphemes to create word families,"using morphemes to read words; for example, by recognising the base word in words such as “walk-ed”",Comprehension,Year1-AS-93
Year 2,Language,Language for interacting with others,AC9E2LA01,"investigate how interpersonal language choices vary depending on the context, including the different roles taken on in interactions",exploring culturally specific greetings and expressions of politeness,Other,Year2-AS-8822
Year 2,Language,Language for interacting with others,AC9E2LA01,"investigate how interpersonal language choices vary depending on the context, including the different roles taken on in interactions","exploring First Nations Australian cultural protocols in Welcome to Country and Acknowledgement of Country, and the greeting words used by local First Nations Australians",Other,Year2-AS-8822
Year 2,Language,Language for interacting with others,AC9E2LA01,"investigate how interpersonal language choices vary depending on the context, including the different roles taken on in interactions",exploring how familiarity with a group or individual influences language choices,Other,Year2-AS-8822
Year 2,Language,Language for interacting with others,AC9E2LA02,explore how language can be used for appreciating texts and providing reasons for preferences,"exploring how language is used to appreciate texts using more precise vocabulary; for example, “I liked how the author described the setting because …”",Text structure,"Year2-AS-1132, Year2-AS-1724, Year2-AS-9971"
Year 2,Language,Language for interacting with others,AC9E2LA02,explore how language can be used for appreciating texts and providing reasons for preferences,"exploring verbs used to express degree of preference; for example, “liked”, “preferred”, “enjoyed”",Grammar,"Year2-AS-1132, Year2-AS-1724, Year2-AS-9971"
Year 2,Language,Language for interacting with others,AC9E2LA02,explore how language can be used for appreciating texts and providing reasons for preferences,identifying First Nations Australian language words specific to Country/Place that help the reader to be specific when appreciating the setting in a text,"Comprehension, Text structure","Year2-AS-1132, Year2-AS-1724, Year2-AS-9971"
Year 2,Language,Text structure and organisation,AC9E2LA03,identify how texts across the curriculum are organised differently and use language features depending on purposes,"identifying the typical features of a text; for example, a typical introduction to a narrative or the use of dot points in instructions",Text structure,"Year2-AS-1724, Year2-AS-6476, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA03,identify how texts across the curriculum are organised differently and use language features depending on purposes,"identifying that different types of texts might have different forms; for example, an expression of opinion might be in the form of a poster, email or brochure",Text structure,"Year2-AS-1724, Year2-AS-6476, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA03,identify how texts across the curriculum are organised differently and use language features depending on purposes,"identifying the organisation and language features in texts such as narratives, recounts, information reports, simple procedures, expression of opinion and responses to texts (including poetry), and discuss their purposes",Text structure,"Year2-AS-1724, Year2-AS-6476, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA04,understand how texts are made cohesive by using personal and possessive pronouns and by omitting words that can be inferred,"identifying language used to build information across a text; for example, through connecting similar and dissimilar things",Text structure,"Year2-AS-6476, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA04,understand how texts are made cohesive by using personal and possessive pronouns and by omitting words that can be inferred,"mapping examples of word associations in texts; for example, words that refer to the main character in a story: “Isy”, “she”, “I”, “sister”, “student”",Text structure,"Year2-AS-6476, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA04,understand how texts are made cohesive by using personal and possessive pronouns and by omitting words that can be inferred,"tracking how a person or thing is identified through a section of a text; for example, “eggs”, “they”, “them”",Text structure,"Year2-AS-6476, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA04,understand how texts are made cohesive by using personal and possessive pronouns and by omitting words that can be inferred,"identifying words left out that can be inferred from the surrounding text; for example, “Xanthe went to school. She had a lovely day.” (at school is inferred)","Comprehension, Text structure","Year2-AS-6476, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA04,understand how texts are made cohesive by using personal and possessive pronouns and by omitting words that can be inferred,using personal and possessive pronouns to link entities previously mentioned in the text,"Grammar, Text structure","Year2-AS-6476, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA05,"navigate print and screen texts using chapters, tables of contents, indexes, side-bar menus, drop-down menus or links","recognising how numbered chapters, organisation of tables of content and alphabetical order of indexes operate to support access to information",Other,"Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Text structure and organisation,AC9E2LA05,"navigate print and screen texts using chapters, tables of contents, indexes, side-bar menus, drop-down menus or links",exploring how the navigation tools of different websites can be used to locate information,Other,"Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA06,understand that connections can be made between ideas by using a compound sentence with 2 or more independent clauses usually linked by a coordinating conjunction,"using coordinating conjunctions; for example, “and”, “but”, “so” to construct compound sentences; for example, “The wolf huffed / and he puffed / and he blew the house down!”",Grammar,"Year2-AS-4307, Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA07,"understand that in sentences nouns may be extended into noun groups using articles and adjectives, and verbs may be expressed as verb groups","identifying nouns that refer to people, places, concrete objects and ideas in sentences in texts, and identifying the articles and adjectives that extend those nouns","Grammar, Text structure","Year2-AS-4307, Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA07,"understand that in sentences nouns may be extended into noun groups using articles and adjectives, and verbs may be expressed as verb groups","building extended noun groups using articles and adjectives; for example, “the longest side”",Grammar,"Year2-AS-4307, Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA07,"understand that in sentences nouns may be extended into noun groups using articles and adjectives, and verbs may be expressed as verb groups","building extended verb groups using verbs; for example, “was touched”",Grammar,"Year2-AS-4307, Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA07,"understand that in sentences nouns may be extended into noun groups using articles and adjectives, and verbs may be expressed as verb groups","investigating how noun groups can be built up by asking questions about the noun such as “how many?”, “what’s it like?”, “what type?”; for example, “two pairs of old walking shoes”",Grammar,"Year2-AS-4307, Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA08,understand that images add to or multiply the meanings of a text,"identifying images and graphics in a text that add ideas or information not included in the written text; for example, a map or table in a factual text or an illustration in a story, which gives clues about the setting",Text structure,"Year2-AS-1132, Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA08,understand that images add to or multiply the meanings of a text,"identifying visual representations of characters’ actions, reactions, speech and thought processes in narratives, and considering how these images add to or multiply the meaning of accompanying words",Other,"Year2-AS-1132, Year2-AS-7457, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA09,experiment with and begin to make conscious choices of vocabulary to suit the topic,selecting vocabulary appropriate to the topic to replace everyday language,Other,"Year2-AS-1724, Year2-AS-5660"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA09,experiment with and begin to make conscious choices of vocabulary to suit the topic,discussing new vocabulary encountered in learning area texts,Text structure,"Year2-AS-1724, Year2-AS-5660"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA09,experiment with and begin to make conscious choices of vocabulary to suit the topic,"exploring language used to describe characters in narratives, including nouns; for example, “magician”, “wizard”, “sorcerer”, and adjectives such as “gentle”, “timid” or “frightened”",Grammar,"Year2-AS-1724, Year2-AS-5660"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA09,experiment with and begin to make conscious choices of vocabulary to suit the topic,identifying words from First Nations Australians’ languages relevant to a topic,Other,"Year2-AS-1724, Year2-AS-5660"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA10,recognise that capital letters are used in titles and commas are used to separate items in lists,identifying how capital letters are used in the titles of texts,Text structure,"Year2-AS-4307, Year2-AS-5330, Year2-AS-8841"
Year 2,Language,Language for expressing and developing ideas,AC9E2LA10,recognise that capital letters are used in titles and commas are used to separate items in lists,"identifying commas used in lists in a variety of types of texts; for example, “This class has students who speak Vietnamese, Thai and Arabic at home.”",Text structure,"Year2-AS-4307, Year2-AS-5330, Year2-AS-8841"
Year 2,Literature,Literature and contexts,AC9E2LE01,"discuss how characters and settings are connected in literature created by First Nations Australian, and wide-ranging Australian and world authors and illustrators","discussing the depiction of characters in particular settings in well-known fairytales from wide-ranging world authors; for example, children in forests, and royalty in castles and towers",Other,"Year2-AS-1132, Year2-AS-7457, Year2-AS-8841, Year2-AS-9971"
Year 2,Literature,Literature and contexts,AC9E2LE01,"discuss how characters and settings are connected in literature created by First Nations Australian, and wide-ranging Australian and world authors and illustrators",recognising recurring characters in particular settings in texts by First Nations Australian authors,Text structure,"Year2-AS-1132, Year2-AS-7457, Year2-AS-8841, Year2-AS-9971"
Year 2,Literature,Literature and contexts,AC9E2LE01,"discuss how characters and settings are connected in literature created by First Nations Australian, and wide-ranging Australian and world authors and illustrators",exploring the way wide-ranging Australian authors and illustrators depict the Australian outback and the associated characters,Other,"Year2-AS-1132, Year2-AS-7457, Year2-AS-8841, Year2-AS-9971"
Year 2,Literature,Engaging with and responding to literature,AC9E2LE02,"identify features of literary texts, such as characters and settings, and give reasons for personal preferences","discussing preferences for stories set in familiar or unfamiliar worlds, or about characters whose lives are like or unlike their own",Other,"Year2-AS-1132, Year2-AS-9971"
Year 2,Literature,Engaging with and responding to literature,AC9E2LE02,"identify features of literary texts, such as characters and settings, and give reasons for personal preferences","discussing their feelings about the positive and negative behaviours of non-human characters, such as animals",Other,"Year2-AS-1132, Year2-AS-9971"
Year 2,Literature,Examining literature,AC9E2LE03,discuss the characters and settings of a range of texts and identify how language is used to present these features in different ways,"comparing how similar characters or settings are described in texts from different contexts; for example, how the seasons are described",Text structure,"Year2-AS-7457, Year2-AS-8822, Year2-AS-8841, Year2-AS-9971"
Year 2,Literature,Examining literature,AC9E2LE03,discuss the characters and settings of a range of texts and identify how language is used to present these features in different ways,"identifying and comparing verb groups used to convey actions, emotions and dialogue in a range of literary texts","Grammar, Text structure","Year2-AS-7457, Year2-AS-8822, Year2-AS-8841, Year2-AS-9971"
Year 2,Literature,Examining literature,AC9E2LE03,discuss the characters and settings of a range of texts and identify how language is used to present these features in different ways,identifying the language used to describe the landscape in First Nations Australians’ stories,Other,"Year2-AS-7457, Year2-AS-8822, Year2-AS-8841, Year2-AS-9971"
Year 2,Literature,Examining literature,AC9E2LE04,"identify, reproduce and experiment with rhythmic sound and word patterns in poems, chants, rhymes or songs","exploring poems, chants, rhymes or songs from different home languages of class members",Other,Year2-AS-1724
Year 2,Literature,Creating literature,AC9E2LE05,"create and edit literary texts by adapting structures and language features of familiar literary texts through drawing, writing, performance and digital tools","inventing some speech, dialogue or behaviour for a favourite character, which may include the use of video and audio tools, for an alternative event or outcome in the original text",Text structure,"Year2-AS-1132, Year2-AS-1724, Year2-AS-6476, Year2-AS-8822"
Year 2,Literature,Creating literature,AC9E2LE05,"create and edit literary texts by adapting structures and language features of familiar literary texts through drawing, writing, performance and digital tools","reviewing and developing sentences; for example, adding prepositional phrases such as “with a long tail” to improve descriptions",Grammar,"Year2-AS-1132, Year2-AS-1724, Year2-AS-6476, Year2-AS-8822"
Year 2,Literacy,Texts in context,AC9E2LY01,identify how similar topics and information are presented in different types of texts,"reading a poem, narrative and informative text about lifecycles and discussing what is learnt","Comprehension, Text structure","Year2-AS-7457, Year2-AS-8841"
Year 2,Literacy,Texts in context,AC9E2LY01,identify how similar topics and information are presented in different types of texts,"exploring recipes presented on food packets, in recipe books, in short video clips and in a digital form, noting their shared purpose",Other,"Year2-AS-7457, Year2-AS-8841"
Year 2,Literacy,Interacting with others,AC9E2LY02,"use interaction skills when engaging with topics, actively listening to others, receiving instructions and extending own ideas, speaking appropriately, expressing and responding to opinions, making statements, and giving instructions","exploring ways to comment on what others say, including using sentence starters such as “I like the way you …”, “I agree that …”, “I have a different thought …”, “I’d like to say something different …”",Grammar,"Year2-AS-8822, Year2-AS-9971"
Year 2,Literacy,Interacting with others,AC9E2LY02,"use interaction skills when engaging with topics, actively listening to others, receiving instructions and extending own ideas, speaking appropriately, expressing and responding to opinions, making statements, and giving instructions","demonstrating appropriate listening behaviours, responding to and paraphrasing a partner’s contribution to a discussion; for example, in think pair share activities",Other,"Year2-AS-8822, Year2-AS-9971"
Year 2,Literacy,Interacting with others,AC9E2LY02,"use interaction skills when engaging with topics, actively listening to others, receiving instructions and extending own ideas, speaking appropriately, expressing and responding to opinions, making statements, and giving instructions",asking relevant questions and making connections with personal experiences and the contributions of others,Other,"Year2-AS-8822, Year2-AS-9971"
Year 2,Literacy,Interacting with others,AC9E2LY02,"use interaction skills when engaging with topics, actively listening to others, receiving instructions and extending own ideas, speaking appropriately, expressing and responding to opinions, making statements, and giving instructions",understanding how to disagree or respectfully offer an alternative,Comprehension,"Year2-AS-8822, Year2-AS-9971"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY03,"identify the purpose and audience of imaginative, informative and persuasive texts",identifying the purpose of texts written by First Nations Australian authors,Text structure,"Year2-AS-7457, Year2-AS-8841"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY03,"identify the purpose and audience of imaginative, informative and persuasive texts",identifying the audience of advertisements and signs,Other,"Year2-AS-7457, Year2-AS-8841"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY04,"read texts with phrasing and fluency, using phonic and word knowledge, and monitoring meaning by re-reading and self-correcting","using phonic (sound–letter) and morphemic knowledge, and knowledge of high-frequency words when decoding text","Phonics, Text structure","Year2-AS-2591, Year2-AS-5330, Year2-AS-7457"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY04,"read texts with phrasing and fluency, using phonic and word knowledge, and monitoring meaning by re-reading and self-correcting","monitoring own reading, self-correcting or reading back, re-reading when meaning does not make sense",Comprehension,"Year2-AS-2591, Year2-AS-5330, Year2-AS-7457"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY05,"use comprehension strategies such as visualising, predicting, connecting, summarising, monitoring and questioning to build literal and inferred meaning",listening for specific information and providing key facts or points from an informative or persuasive text,Text structure,"Year2-AS-7457, Year2-AS-8822"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY05,"use comprehension strategies such as visualising, predicting, connecting, summarising, monitoring and questioning to build literal and inferred meaning",listening and responding to detailed instructions,Other,"Year2-AS-7457, Year2-AS-8822"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY05,"use comprehension strategies such as visualising, predicting, connecting, summarising, monitoring and questioning to build literal and inferred meaning","integrating information from print, images and prior knowledge to make supportable inferences",Comprehension,"Year2-AS-7457, Year2-AS-8822"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY05,"use comprehension strategies such as visualising, predicting, connecting, summarising, monitoring and questioning to build literal and inferred meaning",identifying the main idea of a text,Text structure,"Year2-AS-7457, Year2-AS-8822"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY05,"use comprehension strategies such as visualising, predicting, connecting, summarising, monitoring and questioning to build literal and inferred meaning","predicting vocabulary that is likely to be in a text, based on the topic and the purpose of the text; for example, predicting that “station” and “arrive” would be in a text recounting a train journey","Comprehension, Text structure","Year2-AS-7457, Year2-AS-8822"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY05,"use comprehension strategies such as visualising, predicting, connecting, summarising, monitoring and questioning to build literal and inferred meaning",using prior knowledge to make and confirm predictions when reading a text,"Comprehension, Text structure","Year2-AS-7457, Year2-AS-8822"
Year 2,Literacy,"Analysing, interpreting and evaluating",AC9E2LY05,"use comprehension strategies such as visualising, predicting, connecting, summarising, monitoring and questioning to build literal and inferred meaning","using graphic organisers to represent the connections between characters, order of events or sequence of information",Other,"Year2-AS-7457, Year2-AS-8822"
Year 2,Literacy,Creating texts,AC9E2LY06,"create and edit short imaginative, informative and persuasive written and/or multimodal texts for familiar audiences, using text structure appropriate to purpose, simple and compound sentences, noun groups and verb groups, topic-specific vocabulary, simple punctuation and common 2-syllable words",creating written texts so that readers follow the sequence of ideas or events,"Comprehension, Text structure","Year2-AS-1132, Year2-AS-4307, Year2-AS-4559, Year2-AS-5660, Year2-AS-6476"
Year 2,Literacy,Creating texts,AC9E2LY06,"create and edit short imaginative, informative and persuasive written and/or multimodal texts for familiar audiences, using text structure appropriate to purpose, simple and compound sentences, noun groups and verb groups, topic-specific vocabulary, simple punctuation and common 2-syllable words","using vocabulary, including topic-specific vocabulary, appropriate to the purpose",Other,"Year2-AS-1132, Year2-AS-4307, Year2-AS-4559, Year2-AS-5660, Year2-AS-6476"
Year 2,Literacy,Creating texts,AC9E2LY06,"create and edit short imaginative, informative and persuasive written and/or multimodal texts for familiar audiences, using text structure appropriate to purpose, simple and compound sentences, noun groups and verb groups, topic-specific vocabulary, simple punctuation and common 2-syllable words",using digital tools to create texts,Text structure,"Year2-AS-1132, Year2-AS-4307, Year2-AS-4559, Year2-AS-5660, Year2-AS-6476"
Year 2,Literacy,Creating texts,AC9E2LY06,"create and edit short imaginative, informative and persuasive written and/or multimodal texts for familiar audiences, using text structure appropriate to purpose, simple and compound sentences, noun groups and verb groups, topic-specific vocabulary, simple punctuation and common 2-syllable words",using simple and compound sentences correctly and flexibly to express and combine ideas,Grammar,"Year2-AS-1132, Year2-AS-4307, Year2-AS-4559, Year2-AS-5660, Year2-AS-6476"
Year 2,Literacy,Creating texts,AC9E2LY06,"create and edit short imaginative, informative and persuasive written and/or multimodal texts for familiar audiences, using text structure appropriate to purpose, simple and compound sentences, noun groups and verb groups, topic-specific vocabulary, simple punctuation and common 2-syllable words","editing by adding, deleting or changing vocabulary to improve a text; for example, replacing an everyday noun with a topic-specific one","Grammar, Text structure","Year2-AS-1132, Year2-AS-4307, Year2-AS-4559, Year2-AS-5660, Year2-AS-6476"
Year 2,Literacy,Creating texts,AC9E2LY06,"create and edit short imaginative, informative and persuasive written and/or multimodal texts for familiar audiences, using text structure appropriate to purpose, simple and compound sentences, noun groups and verb groups, topic-specific vocabulary, simple punctuation and common 2-syllable words","reviewing sentences for grammatical accuracy; for example, use of pronouns",Grammar,"Year2-AS-1132, Year2-AS-4307, Year2-AS-4559, Year2-AS-5660, Year2-AS-6476"
Year 2,Literacy,Creating texts,AC9E2LY07,"create, rehearse and deliver short oral and/or multimodal presentations for familiar audiences and purposes, using text structure appropriate to purpose and topic-specific vocabulary, and varying tone, volume and pace",preparing and delivering oral presentations using more formal language and specific vocabulary about content area topics,Other,"Year2-AS-1724, Year2-AS-8822, Year2-AS-9971"
Year 2,Literacy,Creating texts,AC9E2LY07,"create, rehearse and deliver short oral and/or multimodal presentations for familiar audiences and purposes, using text structure appropriate to purpose and topic-specific vocabulary, and varying tone, volume and pace","sequencing ideas, points or events appropriately",Other,"Year2-AS-1724, Year2-AS-8822, Year2-AS-9971"
Year 2,Literacy,Creating texts,AC9E2LY07,"create, rehearse and deliver short oral and/or multimodal presentations for familiar audiences and purposes, using text structure appropriate to purpose and topic-specific vocabulary, and varying tone, volume and pace",adjusting volume and tone when speaking in more formal situations,Other,"Year2-AS-1724, Year2-AS-8822, Year2-AS-9971"
Year 2,Literacy,Creating texts,AC9E2LY08,write words legibly and with growing fluency using unjoined upper-case and lower-case letters,consolidating a functional pencil grip/grasp,Other,Year2-AS-2218
Year 2,Literacy,Phonic and word knowledge,AC9E2LY09,"manipulate more complex sounds in spoken words and use knowledge of blending, segmenting, phoneme deletion and phoneme substitution to read and write words","blending and segmenting sounds in words; for example, “b-r-o-th-er” or “c-l-ou-d-y”",Phonics,"Year2-AS-2591, Year2-AS-4559"
Year 2,Literacy,Phonic and word knowledge,AC9E2LY09,"manipulate more complex sounds in spoken words and use knowledge of blending, segmenting, phoneme deletion and phoneme substitution to read and write words","deleting and substituting sounds (phonemes) in spoken words to form new words; for example, delete the initial “scr” in “scratch” and substitute new initial sounds (phonemes) to form words such as “catch”, “batch” and “hatch”; substituting a medial sound (phoneme) to form a new word; for example, “stack” becomes “stick”",Phonics,"Year2-AS-2591, Year2-AS-4559"
Year 2,Literacy,Phonic and word knowledge,AC9E2LY10,"use phoneme–grapheme (sound–letter/s) matches, including vowel digraphs, less common long vowel patterns, consonant clusters and silent letters when reading and writing words of one or more syllables, including compound words","reading words with digraphs where one letter is not pronounced; for example, “knife” and “thumb”, when reading and using them in writing","Grammar, Comprehension","Year2-AS-2591, Year2-AS-4559"
Year 2,Literacy,Phonic and word knowledge,AC9E2LY10,"use phoneme–grapheme (sound–letter/s) matches, including vowel digraphs, less common long vowel patterns, consonant clusters and silent letters when reading and writing words of one or more syllables, including compound words","providing the sounds for less common letter–sound matches; for example, “ight”, and using them in writing",Phonics,"Year2-AS-2591, Year2-AS-4559"
Year 2,Literacy,Phonic and word knowledge,AC9E2LY10,"use phoneme–grapheme (sound–letter/s) matches, including vowel digraphs, less common long vowel patterns, consonant clusters and silent letters when reading and writing words of one or more syllables, including compound words","reading words with vowel digraphs (“ee”, “oo”, “ai”, “ay”, “ea”)",Comprehension,"Year2-AS-2591, Year2-AS-4559"
Year 2,Literacy,Phonic and word knowledge,AC9E2LY11,"use knowledge of spelling patterns and morphemes to read and write words whose spelling is not completely predictable from their sounds, including high-frequency words","using known words and knowledge of spelling patterns and morphemes to write unknown words; for example, “one”, “once”, “only” and “lone”",Other,"Year2-AS-2591, Year2-AS-4559"
Year 2,Literacy,Phonic and word knowledge,AC9E2LY11,"use knowledge of spelling patterns and morphemes to read and write words whose spelling is not completely predictable from their sounds, including high-frequency words",using context to read the correct word when an unknown word has more than one plausible pronunciation,"Comprehension, Text structure","Year2-AS-2591, Year2-AS-4559"
Year 2,Literacy,Phonic and word knowledge,AC9E2LY12,build morphemic word families using knowledge of prefixes and suffixes,"using morphemic knowledge of words to spell unknown words; for example, “one”, “once”, “cover”, “covering”, “uncover”",Other,"Year2-AS-2591, Year2-AS-4559"
Year 2,Literacy,Phonic and word knowledge,AC9E2LY12,build morphemic word families using knowledge of prefixes and suffixes,"writing unknown words using morphemic knowledge; for example, using the known word “friend” to write “friendly” and “friendship”",Other,"Year2-AS-2591, Year2-AS-4559"
Year 3,Language,Language for interacting with others,AC9E3LA01,"understand that cooperation with others depends on shared understanding of social conventions, including turn-taking language, which vary according to the degree of formality","recognising and using collaborative language in group and pair work; for example, initiating a topic, changing a topic through negotiation, affirming other speakers and building on their comments, asking relevant questions, providing useful feedback, prompting, and checking individual and group understanding",Comprehension,"Year3-AS-9767, Year4-AS-9767"
